"","onlyClusterGenes"
"466","C2orf92"
"467","C3orf14"
"468","C3orf18"
"469","C3orf20"
"470","C3orf22"
"471","C3orf33"
"472","C3orf49"
"473","C3orf52"
"474","C3orf58"
"475","C3orf62"
"476","C3orf67"
"477","C3orf70"
"478","C3orf80"
"479","C3orf84"
"480","C3orf85"
"481","C4orf17"
"482","C4orf19"
"483","C4orf33"
"484","C4orf36"
"485","C4orf45"
"486","C4orf46"
"487","C4orf47"
"488","C4orf48"
"489","C4orf51"
"490","C5orf15"
"491","C5orf22"
"492","C5orf24"
"493","C5orf30"
"494","C5orf34"
"495","C5orf38"
"496","C5orf46"
"497","C5orf47"
"498","C5orf49"
"499","C5orf51"
"500","C5orf58"
"501","C5orf63"
"502","C6orf106"
"503","C6orf120"
"504","C6orf136"
"505","C6orf163"
"506","C6orf201"
"507","C6orf203"
"508","C6orf222"
"509","C6orf48"
"510","C6orf52"
"511","C6orf58"
"512","C6orf62"
"513","C6orf89"
"514","C7orf25"
"515","C7orf26"
"516","C7orf31"
"517","C7orf33"
"518","C7orf43"
"519","C7orf50"
"520","C7orf55-LUC7L2"
"521","C7orf57"
"522","C7orf61"
"523","C7orf77"
"524","C8orf33"
"525","C8orf34"
"526","C8orf37"
"527","C8orf58"
"528","C8orf59"
"529","C8orf74"
"530","C8orf76"
"531","C8orf82"
"532","C8orf86"
"533","C8orf88"
"534","C8orf89"
"535","C9orf116"
"536","C9orf129"
"537","C9orf135"
"538","C9orf152"
"539","C9orf153"
"540","C9orf16"
"541","C9orf24"
"542","C9orf3"
"543","C9orf40"
"544","C9orf64"
"545","C9orf72"
"546","C9orf78"
"547","C9orf84"
"548","C9orf85"
"549","C9orf92"
"550","CALML4"
"551","CAPG"
"552","CARS"
"553","CASC10"
"554","CASC1"
"555","CASC4"
"556","CASTOR3"
"557","CBLB"
"558","CCDC155"
"559","CCDC36"
"560","CCDC84"
"561","CCL3L1"
"562","CCR10"
"563","CD300H"
"564","CDC42EP3"
"565","CDKN1B"
"566","CEBPG"
"567","CEP44"
"568","CES2"
"569","CFL1"
"570","CKLF"
"571","CLCN5"
"572","CLLU1OS"
"573","CNTD2"
"574","COA1"
"575","COBLL1"
"576","COL4A3BP"
"577","COPB2"
"578","COPS5"
