"","missingGenes"
"528","EP300"
"529","EPPIN-WFDC6"
"530","EPPK1"
"531","EPRS1"
"532","EPS15"
"533","ERCC6L"
"534","ERFL"
"535","ERICH1"
"536","ERICH6"
"537","ERICH6B"
"538","ERVH48-1"
"539","ERVV-1"
"540","ERVV-2"
"541","ERVW-1"
"542","ESF1"
"543","ESX1"
"544","EVI2B"
"545","EVPLL"
"546","EVX2"
"547","EXPH5"
"548","EZHIP"
"549","F5"
"550","F8A1"
"551","F8A2"
"552","F8A3"
"553","FADS6"
"554","FAM111B"
"555","FAM153B"
"556","FAM155A"
"557","FAM166A"
"558","FAM166B"
"559","FAM166C"
"560","FAM174C"
"561","FAM184B"
"562","FAM193A"
"563","FAM228B"
"564","FAM240C"
"565","FAM246A"
"566","FAM246B"
"567","FAM24A"
"568","FAM47A"
"569","FAM47B"
"570","FAM47C"
"571","FAM53A"
"572","FAM83F"
"573","FAM83H"
"574","FAM90A1"
"575","FAM90A10P"
"576","FAM90A14P"
"577","FAM90A16P"
"578","FAM90A17P"
"579","FAM90A18P"
"580","FAM90A19P"
"581","FAM90A22P"
"582","FAM90A23P"
"583","FAM90A26"
"584","FAM90A7P"
"585","FAM90A8P"
"586","FAM90A9P"
"587","FAM9A"
"588","FARP2"
"589","FASN"
"590","FASTKD2"
"591","FBLL1"
"592","FBLN2"
"593","FBXL6"
"594","FCGBP"
"595","FCGR2B"
"596","FCGR2C"
"597","FCHSD1"
"598","FCRL4"
"599","FCSK"
"600","FGD3"
"601","FHDC1"
"602","FHIT"
"603","FIGNL2"
"604","FKBP1C"
"605","FLACC1"
"606","FLG"
"607","FLG2"
"608","FMC1-LUC7L2"
"609","FMR1NB"
"610","FNBP4"
"611","FNDC1"
"612","FNDC11"
"613","FNIP2"
"614","FOXC1"
"615","FOXD1"
"616","FOXD2"
"617","FOXD4"
"618","FOXD4L1"
"619","FOXD4L3"
"620","FOXD4L4"
"621","FOXD4L5"
"622","FOXD4L6"
"623","FOXE3"
"624","FOXF2"
"625","FOXG1"
"626","FOXH1"
"627","FOXI3"
"628","FOXK1"
"629","FOXL3"
"630","FOXN3"
"631","FOXO3B"
"632","FOXO6"
"633","FOXQ1"
"634","FPR1"
"635","FREM2"
"636","FRG2"
"637","FRG2B"
"638","FRG2C"
"639","FRMD1"
"640","FRMPD3"
"641","FSCB"
"642","FSIP2"
"643","FUS"
"644","FUT3"
"645","FUT4"
"646","FUT6"
"647","FYB2"
"648","FZD1"
"649","FZD8"
"650","GAB4"
"651","GAGE10"
"652","GAGE12C"
"653","GAGE12D"
"654","GAGE12E"
"655","GAGE12F"
"656","GAGE12G"
"657","GAGE12H"
"658","GAGE12J"
"659","GAGE13"
"660","GARRE1"
"661","GARS1"
"662","GAS1"
"663","GAS6"
"664","GASK1A"
"665","GASK1B"
"666","GAST"
"667","GBP7"
"668","GBX1"
"669","GCC1"
"670","GCGR"
"671","GCNA"
"672","GCSAML-AS1"
"673","GDF1"
"674","GDF5"
"675","GDF7"
"676","GDPD4"
"677","GET1-SH3BGR"
"678","GET3"
"679","GFRA1"
"680","GFUS"
"681","GGN"
"682","GGTA1"
"683","GGTLC3"
"684","GIGYF1"
"685","GIMAP1-GIMAP5"
"686","GIMAP7"
"687","GJA3"
"688","GJA8"
"689","GJC2"
"690","GJD3"
"691","GLUD2"
"692","GLYATL2"
"693","GMCL2"
"694","GOLGA3"
"695","GOLGA6A"
"696","GOLGA6B"
"697","GOLGA6C"
"698","GOLGA6D"
"699","GOLGA6L1"
"700","GOLGA6L10"
"701","GOLGA6L2"
"702","GOLGA6L22"
"703","GOLGA6L4"
"704","GOLGA6L6"
"705","GOLGA6L7"
"706","GOLGA6L9"
"707","GOLGA8A"
"708","GOLGA8B"
"709","GOLGA8F"
"710","GOLGA8H"
"711","GOLGA8J"
"712","GOLGA8K"
"713","GOLGA8M"
"714","GOLGA8N"
"715","GOLGA8O"
"716","GOLGA8Q"
"717","GOLGA8R"
"718","GOLGA8T"
"719","GOLM2"
"720","GP1BA"
"721","GP5"
"722","GP6"
"723","GPR101"
"724","GPR135"
"725","GPR143"
"726","GPR150"
"727","GPR152"
"728","GPR17"
"729","GPR179"
"730","GPR27"
"731","GPR32"
"732","GPR39"
"733","GPR42"
"734","GPR50"
"735","GPR62"
"736","GPRASP1"
"737","GPRC6A"
"738","GPRIN1"
"739","GREB1L"
"740","GRID2IP"
"741","GRIN2D"
"742","GRIN3B"
"743","GSE1"
"744","H1-0"
"745","H1-1"
"746","H1-10"
"747","H1-2"
"748","H1-3"
"749","H1-4"
"750","H1-5"
"751","H1-6"
"752","H1-7"
"753","H1-8"
"754","H2AB1"
"755","H2AB2"
"756","H2AB3"
"757","H2AC1"
"758","H2AC11"
"759","H2AC12"
"760","H2AC13"
"761","H2AC14"
"762","H2AC15"
"763","H2AC16"
"764","H2AC17"
"765","H2AC18"
"766","H2AC19"
"767","H2AC20"
"768","H2AC21"
"769","H2AC4"
"770","H2AC6"
"771","H2AC7"
"772","H2AC8"
"773","H2AJ"
"774","H2AL1RP"
"775","H2AP"
"776","H2AW"
"777","H2AX"
"778","H2AZ2"
"779","H2BC1"
"780","H2BC10"
"781","H2BC11"
"782","H2BC12"
"783","H2BC13"
"784","H2BC14"
"785","H2BC15"
"786","H2BC17"
"787","H2BC18"
"788","H2BC21"
"789","H2BC3"
"790","H2BC4"
"791","H2BC5"
"792","H2BC6"
"793","H2BC7"
"794","H2BC8"
"795","H2BC9"
"796","H2BE1"
"797","H2BS1"
"798","H2BU1"
"799","H2BW1"
"800","H2BW2"
"801","H3-2"
"802","H3-3A"
"803","H3-3B"
"804","H3-4"
"805","H3-5"
"806","H3C1"
"807","H3C10"
"808","H3C11"
"809","H3C12"
"810","H3C13"
"811","H3C14"
"812","H3C15"
"813","H3C2"
"814","H3C3"
"815","H3C4"
"816","H3C6"
"817","H3C7"
"818","H3C8"
"819","H3Y1"
"820","H3Y2"
"821","H4-16"
"822","H4C1"
"823","H4C11"
"824","H4C12"
"825","H4C13"
"826","H4C15"
"827","H4C2"
"828","H4C3"
"829","H4C4"
"830","H4C5"
"831","H4C6"
"832","H4C7"
"833","H4C8"
"834","H4C9"
"835","HAP1"
"836","HARS1"
"837","HASPIN"
"838","HAVCR1"
"839","HAVCR2"
"840","HCN1"
"841","HCN2"
"842","HCN3"
"843","HDGFL1"
"844","HEATR4"
"845","HEG1"
"846","HEPN1"
"847","HES3"
"848","HES4"
"849","HEXD"
"850","HHLA2"
"851","HIGD2B"
"852","HJURP"
"853","HLA-B"
"854","HLA-DOA"
"855","HLA-E"
"856","HLX"
"857","HMCN2"
"858","HMGB4"
"859","HMGN5"
"860","HNRNPA1L2"
"861","HNRNPA1P48"
"862","HNRNPCL1"
"863","HNRNPCL2"
"864","HNRNPCL3"
"865","HNRNPCL4"
"866","HOATZ"
"867","HOMEZ"
"868","HOXA11"
"869","HOXA13"
"870","HR"
"871","HRC"
"872","HRCT1"
"873","HRNR"
"874","HROB"
"875","HS6ST2"
"876","HSD3B2"
"877","HSF5"
"878","HSFX3"
"879","HSFX4"
"880","HSPBP1"
"881","HSPG2"
"882","HTATSF1"
"883","HTR3C"
"884","HTR3D"
"885","HTT"
"886","HYDIN"
"887","IARS1"
"888","IBA57"
"889","IER5L"
"890","IFI27L2"
"891","IFNA14"
"892","IFNAR1"
"893","IFNL1"
"894","IFNL4"
"895","IFTAP"
"896","IGBP1P2"
"897","IGDCC3"
"898","IGDCC4"
"899","IGFBPL1"
"900","IGFL1"
"901","IGFL3"
"902","IGSF10"
"903","IGSF5"
"904","IHO1"
"905","IL17RA"
"906","IL17RB"
"907","IL27"
"908","IL3"
"909","IL31"
"910","IL32"
"911","IL9"
"912","IL9R"
"913","ILRUN"
"914","IMPG2"
"915","INAFM1"
"916","INCA1"
"917","INCENP"
"918","INS-IGF2"
"919","INSM1"
"920","INSM2"
"921","INSRR"
"922","INSYN2A"
"923","IQCN"
"924","IQSEC3"
"925","IRAG1"
"926","IRAG2"
"927","IRF2BPL"
"928","IRGM"
"929","IRS1"
"930","IRS2"
"931","IRS4"
"932","ITGAE"
"933","ITLN2"
"934","ITPKB"
"935","ITPRID1"
"936","ITPRIP"
"937","IVL"
"938","JAG2"
"939","JCAD"
"940","JHY"
"941","JUN"
"942","KANK3"
"943","KARS1"
"944","KASH5"
"945","KATNIP"
"946","KCNA5"
"947","KCNG2"
"948","KCP"
"949","KDM4E"
"950","KDM4F"
"951","KDM5D"
"952","KDM6B"
"953","KIAA1210"
"954","KIAA1549"
"955","KIAA1549L"
"956","KIAA1614"
"957","KIF14"
"958","KIF18B"
"959","KIF20B"
"960","KIF25"
"961","KIF26A"
"962","KIFBP"
"963","KIR2DL1"
"964","KIR3DL1"
"965","KIR3DL2"
"966","KIRREL2"
"967","KL"
"968","KLF18"
"969","KLHL23"
"970","KLK1"
"971","KLLN"
"972","KMT2A"
"973","KMT2B"
"974","KMT2C"
"975","KMT2D"
"976","KNDC1"
"977","KPNB1"
"978","KPRP"
"979","KRBA1"
"980","KRT1"
"981","KRT10"
"982","KRT14"
"983","KRT16"
"984","KRT2"
"985","KRT3"
"986","KRT5"
"987","KRT76"
"988","KRT77"
"989","KRT9"
"990","KRTAP1-1"
"991","KRTAP1-3"
"992","KRTAP1-5"
"993","KRTAP10-1"
"994","KRTAP10-10"
"995","KRTAP10-11"
"996","KRTAP10-12"
"997","KRTAP10-2"
"998","KRTAP10-3"
"999","KRTAP10-4"
"1000","KRTAP10-5"
"1001","KRTAP10-6"
"1002","KRTAP10-7"
"1003","KRTAP10-9"
"1004","KRTAP12-1"
"1005","KRTAP12-2"
"1006","KRTAP13-3"
"1007","KRTAP13-4"
"1008","KRTAP19-1"
"1009","KRTAP19-3"
"1010","KRTAP19-4"
"1011","KRTAP19-6"
"1012","KRTAP19-8"
"1013","KRTAP20-1"
"1014","KRTAP20-4"
"1015","KRTAP21-1"
"1016","KRTAP21-2"
"1017","KRTAP21-3"
"1018","KRTAP22-2"
"1019","KRTAP23-1"
"1020","KRTAP27-1"
"1021","KRTAP4-1"
"1022","KRTAP4-11"
"1023","KRTAP4-12"
"1024","KRTAP4-16"
"1025","KRTAP4-2"
"1026","KRTAP4-3"
"1027","KRTAP4-4"
"1028","KRTAP4-5"
"1029","KRTAP4-6"
"1030","KRTAP4-9"
"1031","KRTAP5-1"
"1032","KRTAP5-10"
"1033","KRTAP5-11"
"1034","KRTAP5-2"
"1035","KRTAP5-3"
"1036","KRTAP5-4"
"1037","KRTAP5-5"
"1038","KRTAP5-6"
"1039","KRTAP5-7"
"1040","KRTAP5-8"
"1041","KRTAP5-9"
"1042","KRTAP6-1"
"1043","KRTAP6-2"
"1044","KRTAP6-3"
"1045","KRTAP9-1"
"1046","KRTAP9-2"
"1047","KRTAP9-3"
"1048","KRTAP9-4"
"1049","KRTAP9-6"
"1050","KRTAP9-7"
"1051","KRTAP9-8"
"1052","KRTAP9-9"
"1053","KSR2"
"1054","L1TD1"
"1055","L34079.1"
"1056","LACRT"
"1057","LAD1"
"1058","LAMA1"
"1059","LAMA5"
"1060","LAMC1"
"1061","LARP1"
"1062","LARS1"
"1063","LATS2"
"1064","LCE1A"
"1065","LCE1B"
"1066","LCE1D"
"1067","LCE4A"
"1068","LCNL1"
"1069","LENG9"
"1070","LGALS3"
"1071","LILRA2"
"1072","LILRB1"
"1073","LIME1"
"1074","LINC00514"
"1075","LINC00634"
"1076","LINC02203"
"1077","LINC02218"
"1078","LIPE"
"1079","LITAFD"
"1080","LLCFC1"
"1081","LMAN1L"
"1082","LMLN2"
"1083","LMNB2"
"1084","LMNTD2"
"1085","LMOD3"
"1086","LMTK3"
"1087","LORICRIN"
"1088","LOXL1"
