"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"NUCB1",0.137809719354831,0.100753868859881,0.418183709315628,0.559612597897436,0.0388309132890029,0.81946514499851,0.0370558504949504,0.268891415412721,-0.780634231709507,-20.1034218767805
"ABCG5",0.174190239635267,0.175207761234604,0.180690413371806,0.160808279730889,0.205705681168217,0.339432044430473,-0.00101752159933677,-0.00584143865619183,-0.133726363262256,-0.650085901871131
"ETV1",-0.117491374099959,-0.139195327035191,0.600982408279512,0.491977766409433,0.496739691639368,0.650938213168794,-0.0217039529352323,0.184728054306073,-0.154198521529426,-0.310421180599706
"ADCY3",0.131039803937576,0.119316138867953,0.347845322679793,0.388114823655639,0.0614840405764387,0.748107768109865,0.0117236650696229,0.0894664423888159,-0.686623727533426,-11.1675114565673
"HPSE",-0.162773261939753,-0.156893975007185,0.218866313419943,0.229478093648862,0.209140561798278,0.423442560888403,0.00587928693256848,-0.0361194883146383,-0.214301999090125,-1.02467927429986
"RSPH10B",0.0024051353277549,0.00861785547984067,0.990503081777815,0.965164871539464,0.970092911278155,0.800938927778011,-0.00621272015208577,-2.58310627281214,0.169153983500144,0.174368848110923
"ADGRV1",-0.302873129087637,-0.263656202381494,0.00198972240540807,0.00820471750030878,0.0699879823423724,0.23888294861312,0.0392169267061429,-0.129483017606344,-0.168894966270748,-2.41319953252167
"RPAIN",0.436528716134841,0.4106526426642,3.47715487663728e-05,9.16795325741995e-05,0.0693945521038162,0.0797426439768631,0.025876073470641,0.0592769101188937,-0.0103480918730469,-0.149119657946143
"CADM2",0.11964735895943,0.00617252434950927,0.624430563616319,0.985427874494282,0.388867759025999,0.977369434976819,0.113474834609921,0.94841069286283,-0.58850167595082,-1.51337225134027
"PPP1R3G",-0.120379807140569,-0.111852517771651,0.450207394357444,0.458979679558471,0.673819549370758,0.841046617048641,0.00852728936891836,-0.0708365428676997,-0.167227067677883,-0.248177821249097
"MS4A15",0.102812285046661,0.0966586518885185,0.556854831040355,0.558401470449466,0.686398390592949,0.73628385630406,0.00615363315814242,0.0598530920244562,-0.0498854657111107,-0.0726771309414302
"CCDC157",0.0287280635424116,0.0327977946848322,0.876167000531087,0.847343080879184,0.85563988869901,0.914230632216425,-0.00406973114242062,-0.141663956444973,-0.0585907435174149,-0.0684759374723651
"IMMP2L",-0.0512335585971711,-0.102897631709059,0.834071021071214,0.609812634620392,0.874621081389015,0.203938620005488,-0.0516640731118879,1.00840297895568,0.670682461383527,0.766826315595313
"TDRD15",0.175024361225374,0.175445157608615,0.187648880722959,0.174539542008663,0.025898721293213,0.0789722871030869,-0.00042079638324119,-0.00240421607766557,-0.0530735658098739,-2.04927359961136
"HMGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CERT1",0.0323318937615037,0.00854339052415969,0.874533108829816,0.97105603623065,0.696184672761088,0.84114217626282,0.023788503237344,0.735759662357546,-0.144957503501732,-0.208217028000382
"BSCL2",0.16520460655518,0.15321741115267,0.24175530613793,0.274500400502485,0.25966773437427,0.441915540186524,0.0119871954025104,0.0725596922051114,-0.182247805812254,-0.701850024807363
"TMEM196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROPN1",-0.0097438994447238,-0.153113447970319,0.97201177505247,0.405016046140473,0.963891537567702,0.23402727925341,-0.143369548525595,14.7137754590877,0.729864258314292,0.757205795328427
"GPR12",-0.0341647162127025,-0.0690423884715437,0.891401731535286,0.739709176091127,0.830359842757787,0.387732000598022,-0.0348776722588412,1.02086819751992,0.442627842159765,0.533055453030714
"NXPH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCHP",0.0682506055791624,0.0559641181588301,0.692371447641975,0.736177139502211,0.470324190185233,0.158952368941018,0.0122864874203323,0.180020196393445,0.311371821244215,0.662036586129206
"LIG4",0.150593810950833,0.167567736221657,0.226686174601067,0.15513728332272,0.165060125760963,0.143108615017079,-0.0169739252708239,-0.112713299196377,0.0219515107438841,0.132990997327082
"ZDHHC8",-0.24972186577815,-0.270126049829621,0.0789837811726554,0.0432670022575593,0.050770719768178,0.0189104861491757,-0.0204041840514708,0.0817076389682175,0.0318602336190023,0.627531651402185
