"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"TOMM34",0.104556480100069,97,0.211935883173304,0.518965873404434,0.775627131675159,"19.67","1.46","0.5132","0.02609"
"GRIK1",0.0548560473969389,77,0.560609994528904,0.796491387512698,0.775725188006797,"0.2923","0.2975","0.32","1.076"
"HJURP",0.0665602759323114,123,0.369840226038474,0.669859203954756,0.775796655154227,"67.65","23.14","0.2995","0.004427"
"SOAT1",-0.105026852426604,100,0.202836574551984,0.507885488098114,0.775879799572252,"0.352","5.628","0.2825","0.05019"
"PYCARD",0.108881108211075,96,0.195999537494206,0.499686534019746,0.775941823808779,"13.37","0.5731","0.7705","0.05761"
"TMPRSS15",-0.0253861789725088,124,0.731267184223162,0.888449057110158,0.7760561892206,"0.2024","0.207","0.2023","0.977"
"UBQLN2",0.0301746998342781,60,0.778303612617555,0.910214150588325,0.77618090035554,"0.3349","0.2631","0.2871","0.8572"
"ERP44",-0.241269644236297,54,0.0330413301566706,0.197038350070778,0.776217050786641,"0.9366","0.3285","1.534","1.638"
"LSR",-0.0233064553557627,106,0.770956720760951,0.906064893673569,0.776298371705851,"0.228","0.2588","0.2057","0.7948"
"MIER3",-0.0747233805674422,71,0.447044840164692,0.728403032928341,0.776382358452334,"1.125","0.2543","0.313","0.2782"
"SCNN1B",-0.0321802547003304,108,0.684880233321923,0.865264898866726,0.776459235511321,"0.4025","0.8331","0.2135","0.2562"
"TNFRSF6B",0.102737269850467,85,0.251588904413662,0.565348826142322,0.776525529265255,"0.7504","0.2647","0.392","0.5224"
"FSTL5",0.0886766215506681,98,0.28722387753343,0.599543877314972,0.776547529121775,"0.4451","14.49","0.4804","0.03315"
"ITPRIP",0.16498308373972,104,0.0412589209460843,0.221456371525079,0.776576986255603,"174.1","0.3636","4.819","0.02768"
"ADAMDEC1",-0.0768409180040241,119,0.308662073828091,0.618066520361808,0.776795042370233,"0.4783","0.2092","0.3324","0.6949"
"ITGA1",0.0345118023107317,114,0.654616009236396,0.850314251054574,0.77687665252234,"0.2263","0.2457","0.2086","0.8492"
"PAFAH1B3",-0.0443612914000111,52,0.700737581428645,0.873407808918557,0.776993214393932,"0.5242","0.3124","0.2811","0.5363"
"STARD7",-0.0704907376850241,70,0.476422052701023,0.74784339392244,0.776997832210113,"0.818","0.2658","0.2919","0.3568"
"MEF2B",0.0943139060508774,77,0.31705842876664,0.626263041068567,0.77699880078542,"0.6782","122.9","0.4906","0.003992"
"ERC1",-0.0977053366407019,67,0.334554255734404,0.640965236056734,0.777070786894478,"52.78","2.73","0.3077","0.00583"
"COBL",0.0168063914628214,115,0.826788130556799,0.932508988072868,0.777158495894828,"0.9247","56.53","0.2006","0.003548"
"LRFN4",0.0748995701586171,66,0.462927992780674,0.738182474974588,0.777203695439464,"0.3307","0.4692","0.2623","0.5591"
"STAU2",-0.0566393860323831,57,0.606822768374358,0.823419594970855,0.777218278278583,"0.6516","0.29","0.3155","0.4841"
"AGFG2",0.0725084086169286,103,0.37209437674566,0.671185162483205,0.777219654375496,"0.2915","0.268","0.4067","1.395"
"DAB2IP",0.0812323458265086,87,0.358951435852626,0.662027239504278,0.777292893246878,"0.3009","0.6944","0.2914","0.4196"
"SHFL",0.0334304065983951,66,0.743194361914299,0.893488056432838,0.777309176622836,"0.2545","0.2794","0.254","0.9091"
"PLEKHA4",-0.0255654816275355,115,0.739233975945455,0.89159348374518,0.777506475019277,"0.2468","0.2115","0.2106","0.8533"
"OPN1SW",0.16980667829094,76,0.0735603472049102,0.300702499512489,0.777514920902576,"0.5066","77.17","0.5233","0.00678"
"ZBTB37",-0.0513254144036843,51,0.659794847802142,0.852585241461727,0.777615924866175,"0.2808","0.5647","0.3714","0.6578"
"CCL5",-0.119083620934837,81,0.194797404169433,0.497992817960274,0.777659101393501,"0.3939","0.2332","0.2986","0.7582"
"ABCD4",-0.0283562735142427,116,0.710761032951677,0.878079948638455,0.777688551813022,"0.2043","0.2674","0.236","0.8824"
"CUBN",0.128649090101692,137,0.0671293685450927,0.287637439994778,0.777760622096206,"1.335","0.1963","0.4945","0.3703"
"CARD6",0.195924895565505,39,0.144127034816015,0.430085173985027,0.777881405513301,"1.36","NA","0.8706","NA"
"TMTC4",-0.0618266498023067,105,0.442152507183521,0.726044446031628,0.777885309904968,"0.2214","0.2469","0.3228","1.307"
"FBLN1",-0.0268938734605037,103,0.740602444273027,0.892348834696623,0.777920859336438,"0.2172","0.2398","0.2643","1.102"
"UMAD1",0.0359425378723892,76,0.704877540579502,0.874734582901989,0.777986260069339,"0.2375","0.424","0.2729","0.6438"
"HSPBP1",-0.0663950573539945,69,0.505570725880332,0.763911344453106,0.778064172696136,"0.2598","0.2475","0.296","1.139"
"TYW3",-0.122948866356644,92,0.153088350374164,0.443577343137515,0.778408184958809,"0.6286","0.2383","0.3379","0.5376"
"CASKIN1",0.0429257510624084,102,0.59903970040795,0.819312672292922,0.778426489770579,"0.3869","0.2407","0.2103","0.5437"
"ERCC6L",0.0837515712126675,114,0.277643292358343,0.590497854096505,0.778432913450925,"7.703","8.489","0.2253","0.02654"
"CPNE8",-0.178291709802514,58,0.102140267576848,0.358052409334887,0.778448033261617,"16.58","0.34","0.9142","0.05515"
"VAPA",-0.142382950114931,65,0.166219694912779,0.460182587837226,0.778463199996339,"2.602","0.3377","0.7563","0.2906"
"NKAPD1",-0.0298092856597459,61,0.779089451100517,0.910420011838431,0.778576744546209,"0.3371","0.2734","0.2824","0.8376"
"LYRM1",-0.0830415357308314,48,0.490130821592191,0.755924777817841,0.778669682524479,"0.6717","0.3375","0.4453","0.663"
"SLC15A5",-0.261938443992866,82,0.00410700336494488,0.0599141676543728,0.778673719210997,"27.31","0.2516","11.41","0.4179"
"GNL3",-0.00885374540650411,118,0.907020617430162,0.96374156074932,0.778764619239594,"0.3511","0.6942","0.1988","0.2864"
"PDLIM3",-0.0338444291116203,77,0.719568354312818,0.882948608673699,0.77879972926224,"0.2373","0.3093","0.2589","0.8371"
"KLHL26",-0.0860291469975842,70,0.384829771824486,0.680719896194729,0.778835291342688,"8.835","1.885","0.3821","0.04325"
"SLC16A3",0.0198920509722615,82,0.827476394047353,0.932632578851925,0.778908570799868,"0.3462","0.2576","0.2397","0.6923"
"IRF3",-0.0723661460894033,112,0.352560224747179,0.656082029612636,0.778964440340237,"0.2577","3.881","0.3429","0.08837"
"CCR2",0.184645184521626,101,0.0244286601529409,0.166858660461246,0.779155455697022,"14113","4.33","4.197","0.0002973"
"DUSP22",-0.161857579982762,66,0.112684032565885,0.377012104929726,0.77936153656184,"1.975","0.2607","0.5812","0.2943"
"ECM2",0.275839990172943,121,0.000228179283234962,0.00977956462809683,0.779364896340198,"32469124","8.678","109.3","0.000003365"
