"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"BIRC3",0.37793249533987,104,2.93662618703676e-06,0.000564208718447857,0.042101709628415,"111253505951","0.8301","31377","0.000000282"
"CEP192",-0.131917019038564,132,0.06544188546653,0.284182003941298,0.0421375013200972,"0.1869","1.478","1.023","0.6924"
"LEO1",0.143801515845546,73,0.137730053102514,0.420628199672769,0.0421868625051,"0.242","0.5126","0.4221","0.8234"
"EFCAB3",0.249648051267059,113,0.00127483566313126,0.0292567951725652,0.042192046556741,"1.213","0.9487","53.9","44.45"
"OPN1MW",0.261074081211557,62,0.013233557295215,0.118077114905958,0.0422259285733196,"0.353","4.834","3.48","0.7198"
"FIGNL1",0.176776836207726,113,0.0225355488265992,0.159436096069454,0.0422721525143469,"0.7387","0.2118","0.6984","0.9454"
"PRSS45P",0.218366054803924,88,0.0131203550094374,0.117618763026686,0.0422747278202455,"1.347","0.3149","3.94","2.924"
"NUP153",0.183083445967709,127,0.012171593279541,0.113223772121167,0.0423011215925128,"7.451","0.1895","3.014","0.4045"
"CRB3",-0.0818739301426537,80,0.37575650574818,0.674187567671299,0.0423720284948208,"0.2601","0.3212","0.4319","1.345"
"FAM184B",0.114592816736664,125,0.119559885584816,0.389380890128331,0.0423745038886848,"0.1915","0.9401","0.5748","0.6115"
"EPAS1",0.188017180998068,112,0.0157214466113229,0.13002295745987,0.042441849279489,"0.4583","0.3574","3.68","8.031"
"IGFLR1",0.204108718667579,98,0.014302995471818,0.123735138870994,0.042492271592983,"0.9874","0.5846","3.833","3.882"
"WWC1",0.0702588815477611,110,0.371148476561537,0.670933864521906,0.0425273390036452,"0.2023","0.2116","0.2586","1.222"
"ENKUR",0.299333043619828,81,0.00111815997061417,0.0273356367367439,0.0425286663285464,"3.37","0.473","32.16","9.545"
"ZBTB8OS",0.201420376046834,73,0.0376145517008605,0.211055941914672,0.0425661684200505,"0.2657","0.9759","0.9806","1.005"
"MYZAP",0.269289560135734,97,0.00130469367201116,0.0297597250666047,0.0426225398019306,"2.573","0.723","24.31","9.448"
"KCNS3",0.172789746110401,72,0.0765749243708748,0.306760590424153,0.0426333316736131,"0.4349","2.756","0.5595","0.203"
"EPHX1",0.237416458652938,100,0.00399175726169511,0.0588205253920972,0.0426541346977395,"40.78","0.2369","7.635","0.1872"
"MDM2",-0.29321985107663,80,0.00151309833561076,0.0327204785821974,0.0426620500756547,"1.392","1.224","17.53","12.59"
"LRRC18",0.207084391789844,91,0.0167116589682956,0.134799530253272,0.0426943203923395,"0.2725","3.024","3.321","1.098"
"MGAT4B",-0.195124295566994,95,0.0211736603564407,0.155082670276923,0.042704494355979,"3.116","0.2496","5.753","1.846"
"GDE1",-0.258685439231502,68,0.0100398797922132,0.1007079240737,0.0428191331885528,"3.418","0.2808","2.454","0.718"
"ALKBH5",-0.253313089609521,40,0.0556586255842107,0.260656300939057,0.0428557924091317,"1.695","0.323","1.581","0.9326"
"AGER",0.153496424774107,112,0.0486260595291073,0.241935633500399,0.0428578071039383,"104.1","0.4304","2.767","0.02659"
"MAL",-0.353704574770124,69,0.000390187280352803,0.0136620247274932,0.042910165417931,"0.9478","2.042","28.2","13.81"
"TADA2B",0.148468200246032,48,0.217271281834759,0.525929160002536,0.0429239114641352,"0.4873","0.2908","0.5428","1.114"
"GMNN",0.266028286778458,84,0.0031693186841854,0.0510154777671347,0.042925137569227,"13.94","0.2524","5.872","0.4211"
"PLPP1",0.161093975560918,63,0.123231803289401,0.395789070744741,0.0429836240181068,"0.7771","0.3725","0.5197","0.6687"
"CTSK",0.115686594741307,68,0.249600687824114,0.563670269399061,0.0430137233754297,"1.327","0.3273","0.6351","0.4785"
"KDELR3",0.1442726332457,69,0.14799861664337,0.435659389813608,0.0430616120410747,"0.8484","0.248","0.7559","0.891"
"STK36",0.174115134480638,126,0.0175601440023025,0.138649271874871,0.0431036679676703,"0.2911","3.313","4.609","1.391"
"ARHGEF16",0.272412901129896,110,0.000525246758025976,0.0165364452012128,0.0431301071084806,"0.4248","28.9","130.1","4.503"
"FCRL1",0.190334866570489,116,0.0128053269965441,0.115952042519764,0.0431568841288927,"3.964","0.2002","6.729","1.698"
"RPL36A",0.145683009190882,68,0.147101495910265,0.435062762524419,0.0431950451171979,"0.376","0.4156","0.2846","0.6847"
"MRPS26",0.15751688517542,79,0.0904319912298261,0.336114538831888,0.04319510020801,"1.126","0.3496","0.4903","0.4353"
"POGLUT3",0.220367972987085,104,0.00640961643151436,0.078156641043673,0.0432071179821648,"295.7","0.4107","10.45","0.03535"
"FRMPD4",0.125522581577616,114,0.103719063800785,0.361154184202871,0.0432384068000391,"0.2034","3.3","1.362","0.4128"
"STMN3",0.406507786037686,39,0.00244181258070621,0.0437715350890709,0.0433075728917165,"0.3385","1.809","2.479","1.37"
"SLC35C1",-0.152318775379731,84,0.0911161293483477,0.337318753560854,0.0433392395266899,"1.468","0.2315","1.257","0.8563"
"ANKRD44",0.126441992569335,78,0.176933917497765,0.473318758947073,0.0433657546432591,"0.2432","1.721","0.4958","0.2881"
"CD207",0.153004382401627,101,0.0622227863812549,0.277438463763608,0.0433823284338233,"0.6067","0.2905","1.178","1.942"
"MYBL2",-0.279546312630742,97,0.000845671248118089,0.0228324076906056,0.0434034319915203,"13.01","0.3248","15.69","1.207"
"TPTE2",-0.0750884229707785,92,0.382906842124433,0.678921194519256,0.0434427608391494,"0.2404","0.2442","0.3472","1.422"
"PTPRM",-0.19824065604609,83,0.0288544637667033,0.182761197805501,0.0434660976964221,"96.96","0.5543","2.767","0.02854"
"EPB41L4A",0.153932731230451,91,0.0752742223916801,0.304490272645307,0.0434861218847874,"0.6049","0.2461","0.99","1.637"
"MLXIP",-0.257662941013123,91,0.00290649579185583,0.0481290010350846,0.0435568053699455,"8.026","0.2573","10.13","1.263"
"RARRES1",-0.1699631717271,83,0.0609677823296057,0.274328072766504,0.0435768056061293,"0.234","0.3565","0.4316","1.211"
"SERPINF2",0.232089745488367,102,0.00447214780157739,0.0629883524007883,0.0435820637539937,"0.6515","0.6085","3.753","5.76"
"PRKCE",0.141257639151595,51,0.22570108543597,0.536244911387649,0.0435869099066407,"0.2827","0.3433","0.4049","1.179"
"SLC25A52",-0.24865901409776,71,0.011398440413876,0.108736399560819,0.043621072193059,"5.44","0.2494","6.888","1.266"
"FLNC",0.398874901083555,101,1.16679922371171e-06,0.000291427552775729,0.0436322944691793,"3.13","98.99","17778","179.6"
"SLC35G6",0.252402481941672,58,0.0206673378560029,0.152312029236239,0.0436952605533073,"0.2981","1.326","0.5193","0.3917"
"C16orf46",0.202720404384477,110,0.00986788652581822,0.0996698019124652,0.0438116902323227,"1.18","0.407","10.41","8.825"
"A1CF",0.26851249933601,99,0.00119856061158272,0.0280650458205915,0.0438484160698042,"8858","1.194","44.94","0.005073"
"IPO4",0.19181038911808,122,0.0100652154251178,0.100894527331649,0.0438547189014294,"0.3402","10.13","14.68","1.448"
"TMEM220",0.222948849383786,87,0.0118095891601779,0.111027919168397,0.0438569453373374,"1.556","0.2243","1.744","1.121"
"PIGF",-0.284528614675986,63,0.00648148390158182,0.0785218413493171,0.0438693671940838,"2.193","0.4357","14.42","6.576"
"RBMX2",0.0739535741917181,85,0.40920902214085,0.701328168906908,0.0439097325268716,"0.2285","0.2291","0.2341","1.022"
"NEK2",0.178604792201581,85,0.0462457109536577,0.234691734299655,0.0439109420806592,"0.3403","0.5071","0.9702","1.913"
"CRISPLD1",-0.177021272321804,80,0.0554821916067548,0.260046675865801,0.0439253250662172,"2.543","0.2324","1.888","0.7427"
"TSPYL2",-0.169068571223841,91,0.0507374128434986,0.247927306513878,0.0439405335914486,"0.2924","0.9506","1.491","1.569"
"STPG1",0.216365799728227,113,0.00523681239706438,0.0693418696649005,0.0439592614447683,"0.5062","1.864","7.37","3.955"
"AXIN1",-0.155536990364994,106,0.0520365867102839,0.25141343358933,0.0440191788028792,"0.2055","9.92","1.21","0.122"
"CDK15",0.216520703494931,98,0.00936260965446356,0.0969648018533454,0.0440380169999864,"0.4698","0.3377","1.597","3.398"
"ITGB4",0.41101910505094,123,3.06473138350763e-08,2.87050403207783e-05,0.0441046415428066,"23.1","189.2","4245486","22441"
"NTN1",0.240635796333411,36,0.0854599260480088,0.325795586811361,0.0441206867595954,"0.9753","0.3302","0.8728","0.8949"
"RASSF9",0.0721779451679111,92,0.401619645268932,0.694515578582993,0.0441718329136284,"0.2303","0.4395","0.4367","0.9936"
"KRT80",0.276284537722068,109,0.000464373431719297,0.0152277904764669,0.0441870013941825,"0.4216","2535291794","148.6","0.0000000586"
"PTS",0.204876010470937,66,0.0446608467148865,0.230550275187492,0.0442065093708651,"0.3276","1.748","1.028","0.5882"
"MAML2",0.245504048948313,105,0.00227438433711281,0.0416165124248749,0.0442577849195335,"10608","0.452","31.83","0.003001"
"KDM2B",0.122004747771053,98,0.14313630245148,0.42849393298799,0.044271294492651,"0.9548","0.2233","0.8264","0.8655"
"FAM162B",0.227326799267159,92,0.00825119675472128,0.0906576732749624,0.0442893521243214,"0.2715","19124","4.722","0.0002469"
"DDX20",0.142200407101915,114,0.0652894493137431,0.283759376595016,0.0442921011519947,"0.2203","1.361","2.873","2.111"
"PRR30",0.266566707216683,116,0.000490166583231309,0.0158311129661733,0.0443138829081974,"505.6","0.1974","185.8","0.3675"
"PKD1L3",0.268610643073646,85,0.00272145094866434,0.0466773804148474,0.0443444216581884,"2355","NA","136.4","NA"
"BMP3",0.211163745468686,109,0.00746332133035618,0.0849888552102718,0.0443572805890655,"244.6","0.2573","14.58","0.05959"
"SEMA3E",0.148208273036997,98,0.075291190381509,0.304490272645307,0.0443838704092821,"2.036","0.2648","0.933","0.4583"
"IL36B",-0.201909823779195,104,0.0124994959015625,0.115059856007872,0.0443855153645989,"2.942","0.3659","6.103","2.075"
"SPAG6",0.180830285280403,65,0.0786974977937372,0.312018125809851,0.0443876604776722,"0.3124","0.9914","0.9152","0.9231"
"VSTM5",0.164733577326242,75,0.0846862074855095,0.324385195507941,0.0444149771757009,"4.776","0.5079","0.6354","0.1331"
"ARAF",0.145538865874614,67,0.150602594191162,0.440033237775151,0.0444449668531666,"0.3915","0.3099","1.525","3.896"
"PRRX2",-0.271375494752023,46,0.0274028561760105,0.178702873217447,0.0444745234597038,"0.3103","2.722","1.549","0.5691"
"KSR2",0.107702493272551,77,0.253224350187389,0.566644783023476,0.04448434293871,"0.2599","0.8962","0.6303","0.7034"
"GRIN2A",0.145341113223382,108,0.0668263215404171,0.28711561198529,0.0445053327016888,"1.526","0.2048","1.595","1.045"
"DIS3L",0.129804623010661,118,0.0868294966995334,0.328389874481072,0.0445563586037214,"0.2594","0.6596","0.7422","1.125"
"FDXR",0.132489820138847,122,0.0754600597027378,0.304809826066099,0.0445870416939292,"0.1965","0.7428","0.5098","0.6863"
"SKI",0.120523319323617,72,0.216741874442911,0.525316872969444,0.0445938039585028,"0.2431","0.567","0.4004","0.7062"
"GREB1",0.166250530948113,125,0.0239244961708871,0.164947673934825,0.0445944754196349,"0.305","0.3743","1.418","3.788"
"FAM151B",-0.132132134089965,84,0.142750071038932,0.427764959925901,0.0446328049175024,"0.2645","0.5966","0.7096","1.189"
"VPS13C",-0.0992041596961019,134,0.162713111489146,0.457923441093549,0.044688780067141,"0.1997","0.268","0.3798","1.417"
"GPANK1",0.126987507812323,95,0.133609496668841,0.41352884275431,0.0446992232688812,"0.2192","0.603","0.3735","0.6195"
"LRRC2",0.243196632877657,102,0.00289353669893397,0.048127126493035,0.0448140534479537,"0.2771","5.327","5.762","1.082"
"ESYT3",0.346345966101841,121,3.69864007411152e-06,0.000644509536635294,0.0448219123288667,"0.8208","1513","9092","6.009"
"HK1",-0.133554537250351,83,0.140926803994503,0.425277705328558,0.0448722731131324,"0.5125","0.2438","0.7802","1.523"
"SHPRH",-0.221627603298035,120,0.00319041326821444,0.0512373027616879,0.0448748100441421,"1.634","0.3919","9.14","5.595"
"MSS51",0.180803350785789,88,0.0399950923532923,0.218645743638748,0.0449474647223531,"0.8355","1.553","2.116","1.362"
"SNX16",-0.240013055620458,94,0.00480479625335174,0.0659822147004148,0.0449505724657917,"1.061","8.61","15.51","1.802"
"THNSL1",0.147574553746584,108,0.0627434186832629,0.278764563411615,0.0450230405632577,"0.2568","0.7312","0.7508","1.027"
"FRMD7",0.291358649590071,97,0.000504379396853266,0.0161954113079319,0.0450397612599403,"0.5286","23.69","84.37","3.561"
"CEP250",0.256985153051765,127,0.000432957873881837,0.0146133033738586,0.0450780594602337,"559.1","0.1955","69.86","0.1249"
"TMEM238",-0.163951850684571,67,0.105391110404772,0.363841521398138,0.0451117155300439,"0.7901","0.2643","0.4442","0.5622"
"ARHGAP9",0.0912468143615052,115,0.234812662552879,0.548115663709883,0.0451380460195986,"0.5696","0.2053","0.428","0.7513"
"SLC10A1",-0.208390280006322,93,0.0148928088681028,0.126094874812467,0.0451420762626625,"0.2711","1.52","1.785","1.174"
"RNF44",-0.192569889104048,75,0.0438567054038853,0.22804878111819,0.045153345884805,"0.5307","1.03","1.965","1.907"
"CXCL13",-0.306572709276116,89,0.000460689709539008,0.0151435715202812,0.0451945906885517,"0.7264","37.85","70.64","1.866"
"IQCF2",-0.175839005173152,39,0.189906451857228,0.491410534589298,0.045204096828102,"0.3256","0.6255","0.6882","1.1"
"DEFB135",0.137255222363382,89,0.116844453900526,0.385071178599204,0.0452089588163012,"0.2413","0.5019","0.5445","1.085"
"MYO9A",-0.169238032603242,124,0.0220468481690272,0.158007683721206,0.0452129643721483,"0.2251","4.776","2.642","0.5531"
"ATF1",0.165249987419186,45,0.184236024272078,0.48429416939859,0.0452660272284246,"0.3074","0.4125","0.3732","0.9048"
"TTC29",0.178837242488997,115,0.0198856536179381,0.14900320255921,0.0453594342542253,"0.7634","0.2276","1.954","2.56"
"MOV10L1",0.18325770793533,116,0.0165486479723228,0.134198072788544,0.045360824742268,"3.408","0.2552","1.507","0.4421"
"TMEM63C",-0.178747436471119,102,0.0285668650886938,0.181861954213749,0.0454174725607625,"0.5048","0.2769","0.273","0.5407"
"STX16",0.22683774984468,70,0.0219389352440704,0.158007683721206,0.0454249725359699,"0.2814","0.6039","1.515","2.509"
"RGS8",0.132013617896772,54,0.243484970705196,0.557508705306166,0.0455224681316553,"0.2831","0.3272","0.4772","1.459"
"CTNND2",0.100380107714717,76,0.29016685873079,0.600982408279512,0.045537514845724,"0.5245","0.2519","1.327","2.53"
"ALG10",-0.166583191884726,76,0.0791959003360161,0.312652729830226,0.0455446204564461,"0.6152","0.2952","1.387","2.254"
"GLMP",0.253300728691462,109,0.00133056744674617,0.0301206703277011,0.0456018787223973,"17.24","0.2331","20.65","1.198"
"NNT",0.124656399566438,90,0.152037436810756,0.442070824223126,0.0456050654483943,"0.2349","8.397","0.7724","0.09199"
"PRDM6",0.110524820289139,77,0.240999131309796,0.555131021035006,0.0456174770339386,"0.6343","0.2533","0.4348","0.6855"
"DIS3",0.107990177000248,111,0.167293602655168,0.461201023098658,0.045638435128693,"0.2118","0.2418","0.2851","1.179"
"DHX37",0.170086300205469,120,0.0236351019828339,0.163676357816428,0.0456508763107061,"0.3109","0.2958","0.9566","3.077"
"BMPR2",0.145047553335515,77,0.123871546317098,0.396364247807218,0.0456528965739221,"0.2369","0.2682","0.5692","2.122"
"MAPK9",-0.277101245043963,36,0.0476506136067599,0.238587402442667,0.0456625938547641,"0.327","0.8296","0.7156","0.8625"
"SLC39A12",0.326941412506386,113,2.45368756615167e-05,0.00215839810295718,0.0457122981093562,"8.644","0.9103","415.6","48.08"
"TMEM191C",0.182336783794753,84,0.0431244276827349,0.226361706918902,0.0457750505012006,"0.32","1.258","1.914","1.521"
"OR5AU1",0.275060217992438,80,0.00292318729667006,0.0483519700087169,0.045911279866642,"2.235","6.947","17.83","2.567"
"SLC38A8",0.188517334849572,111,0.0159213154379778,0.131173572029609,0.0460130841413337,"1.518","0.2119","2.019","1.33"
"RAPSN",0.132489831627148,66,0.194138711010435,0.496902258446178,0.0461064921973252,"0.3556","0.2541","0.4448","1.251"
"CMTM3",-0.142701453820655,66,0.161960265794613,0.457662036825573,0.0461263979344657,"0.2522","0.6604","0.4246","0.6428"
"CBL",0.192741077113877,96,0.0220837408639357,0.158045339344288,0.0461769177896732,"0.5671","0.2323","1.76","3.104"
"C2orf50",0.175032274551205,83,0.0536548734940208,0.255530044500219,0.0461926444833625,"0.5727","3.037","1.386","0.4562"
"CASP1",-0.224588671135771,80,0.015112059506736,0.127037351531626,0.0461952047600393,"NA","3.627","1.927","NA"
"CIART",0.239334343795694,107,0.0026655427585633,0.0464478540223745,0.0463584218977586,"29975","0.5421","29.88","0.0009969"
"PLCL1",0.192418277168334,100,0.0196385262408192,0.147668316229261,0.0463659322073168,"0.3254","0.4923","1.832","3.723"
"ATG10",0.115188225161461,94,0.175956592301083,0.472142151948869,0.046391087551408,"0.2806","0.2776","0.4749","1.693"
"MPZL3",0.192053693655605,81,0.0365302921295476,0.207599654314299,0.0463991127746586,"0.4108","0.4046","1.893","4.608"
"OR2K2",0.181672102108129,92,0.0347644690586765,0.20241690586296,0.0464007109892655,"3.867","NA","4.2","NA"
"LZTS1",-0.221048605962608,96,0.00866248909665047,0.0931917168717903,0.046401657677082,"23.01","0.2293","6.288","0.2733"
"DDX31",0.143828571482837,119,0.0567118569558628,0.263121946854663,0.0464113724763845,"2.249","0.4535","0.4186","0.1861"
"ARSK",0.113368534510818,111,0.147133959878347,0.435072912931514,0.0464339968958324,"0.4316","0.2366","0.6339","1.469"
"MFSD4A",-0.206753530307501,95,0.0145963629133091,0.124852222955965,0.046447379537582,"0.511","1.375","1.242","0.9029"
"XRRA1",0.14508310637352,120,0.0535646778768416,0.255480669211441,0.0465106946506682,"0.1948","12.17","2.06","0.1693"
"AGPS",-0.168508705860378,91,0.0515078338441455,0.249785722177542,0.0465277584333825,"0.3614","0.475","1.297","2.73"
"LBHD1",0.166133402480439,108,0.0361670991325129,0.206265459948768,0.0465931319278418,"0.4749","0.257","0.974","2.051"
"STAMBPL1",0.296082640066119,103,0.000267714231728867,0.0108431499369968,0.0465952599368623,"1838","0.2085","328.5","0.1787"
"SH3PXD2A",0.248060316997747,107,0.00184940919843267,0.0369261416410285,0.0465980394991759,"1.495","1.132","56.36","37.7"
"LRRC32",0.159569116106689,110,0.0422395084748946,0.224707587506131,0.0466009392122567,"2.734","0.2027","1.336","0.4888"
"FKBP8",-0.292217724648499,54,0.00983152107265311,0.0996181033095196,0.0466463993919818,"5.199","0.3727","3.375","0.6492"
"TOP3A",0.25674014810024,121,0.000602726360660512,0.0180288567681805,0.0466493604371219,"2.907","1.115","54.66","18.8"
"MLYCD",0.182659212209999,96,0.0300678192536482,0.186762080602019,0.046688066525417,"0.5013","0.2386","0.7657","1.527"
"UFD1",-0.327497380270136,42,0.0111405743464927,0.107158310113312,0.0466893993330086,"3.664","0.3855","4.077","1.113"
"SDSL",-0.136383639838169,98,0.101677309274911,0.357192256159728,0.0467026821094506,"0.2401","0.8373","0.6344","0.7576"
"CAPG",-0.187688836981614,81,0.0410076172351912,0.220739997085695,0.0467040468951958,"2.034","0.2383","2.241","1.102"
"C1QTNF8",0.41850704838996,93,1.00772501726173e-06,0.000264943282608497,0.0467389244361818,"17.93","32.33","69670","2155"
"NKAPL",0.219218054946678,93,0.0104222921496347,0.102556220205493,0.046744396528776,"2.649","0.2722","5.36","2.024"
"ATP5PO",0.17546439149082,78,0.0609636435254645,0.274328072766504,0.0467641039782871,"0.29","40.36","1.236","0.03063"
"CACNB1",0.127703680705601,59,0.237534101335965,0.551295638771128,0.0467923996334746,"0.2662","3.847","1.603","0.4166"
"S100A16",0.119246529159675,49,0.316502592255798,0.626152851161107,0.0467930450584397,"0.412","0.3297","0.6614","1.605"
"ALG10B",-0.165588665366011,76,0.0810038457140377,0.316542755586347,0.0468078283309585,"0.6204","0.2994","1.376","2.217"
"RBMS2",0.217181702698151,90,0.0125765799544561,0.11524230054603,0.0468718502810053,"47.68","1.408","1.236","0.02592"
"TRPM2",-0.349156999778041,121,3.08324928970724e-06,0.000570439183401885,0.0469238693197973,"0.9121","40.33","1357","33.66"
"GCNT4",-0.129409407972507,96,0.124337369923865,0.397465833122661,0.0470118060962291,"0.4095","0.2647","0.5427","1.325"
"GSTO1",-0.163347110412222,86,0.0666810671082003,0.286655901228769,0.0470489185428788,"0.6692","0.6496","2.976","4.448"
"OVCA2",0.20126444739567,91,0.020032548237134,0.149682264998556,0.0470673127423355,"0.7681","0.2718","1.128","1.469"
"SENP7",-0.257992258268362,125,0.000457371083799715,0.0151435715202812,0.0470746663114043,"0.2545","137.1","27.01","0.1971"
"PKP2",0.133728409367994,103,0.0997313741448948,0.353661706799667,0.0470965984276485,"0.326","0.223","0.9453","2.899"
"CHRM3",0.217862506765886,78,0.0199906972259602,0.149602725713908,0.0471005330870021,"1.737","0.235","1.135","0.6536"
"INPP5E",0.138259216466899,108,0.0812405083514183,0.316967002904024,0.0471057598127046,"0.522","0.251","1.217","2.332"
"NOS1",0.157055059131065,109,0.0466044299917823,0.235621993133638,0.0471066808018689,"0.4623","0.6765","3.194","4.721"
"PER1",0.120230338926338,115,0.117483470341217,0.385759703447301,0.0471067994695559,"0.6415","0.2425","0.9078","1.415"
"DNAH17",0.4009639231535,127,4.00190247505636e-08,3.3318061383997e-05,0.047142078966152,"2.633","12371","2677947","216.5"
"PFDN2",0.142658775981281,47,0.24095466870157,0.555131021035006,0.0471718010993225,"0.3305","0.3953","0.3286","0.8312"
"B3GNT2",-0.154279436972043,73,0.111283886060951,0.374406109657439,0.0471832041548731,"0.3153","1.149","1.185","1.031"
"GUCD1",-0.229958488712203,84,0.0107497909696589,0.104676002255561,0.0472270872936201,"0.4598","2.52","4.89","1.94"
"MGA",-0.263430123654938,127,0.00030929144035513,0.011948760975799,0.0473005959782979,"0.1955","94198","161.6","0.001715"
"ADCY8",0.159236031811047,80,0.0849475617302731,0.324990035208368,0.0473029468746813,"0.2329","1.792","0.6869","0.3833"
"ALKBH7",0.0812855827136334,89,0.35304591978539,0.656501570158065,0.047303091128061,"0.2353","0.3097","0.3686","1.19"
"RASSF10",0.185460900497263,86,0.0373353191637696,0.210215000743653,0.0473804210339744,"0.2289","8.308","1.315","0.1583"
"CDKN3",0.117112436528889,58,0.282967013256285,0.596335770026534,0.0473914439974916,"0.4488","1.853","0.3474","0.1875"
"LUZP2",-0.241910105208183,83,0.00765555126886801,0.0861954104547377,0.0474396459582888,"1.189","0.479","5.717","4.81"
"TTC12",0.234246050964531,122,0.00167252420921943,0.0353020391540315,0.0474756798150472,"578.2","0.2534","49.37","0.08539"
"GEMIN4",0.214949491277868,117,0.00475263417647995,0.0656012513404683,0.047496578039983,"0.4326","1.516","5.242","3.458"
"DPH1",0.255258195290301,101,0.0018651866131978,0.0371204337123269,0.0475325406701607,"1.357","0.6391","13.59","10.01"
"KCNT1",0.238271975893739,101,0.00368565215536535,0.0561883857581944,0.0475454573646616,"0.3181","2.461","7.439","3.023"
"ACTN3",0.180766745496488,107,0.0232802052987951,0.162343953749531,0.0475500675824856,"0.2046","4.773","1.08","0.2263"
"TMEM159",-0.186267273092938,90,0.0323292975140581,0.194494922740134,0.0476069582525159,"0.8232","0.3065","1.326","1.611"
"H3-4",0.165576615198283,58,0.129015916852645,0.405653857687694,0.0476160034453637,"0.5327","0.2872","0.7482","1.405"
"CCDC80",0.130756873968767,110,0.0960320962019245,0.346029572897822,0.0476291483275678,"1.306","0.204","0.9511","0.7281"
"CBLN3",-0.123385653966514,63,0.237779328309854,0.551510060856185,0.0476395795791151,"0.2951","0.2869","0.439","1.488"
"CHAD",0.385033524407267,75,5.58234984621647e-05,0.00381995866645662,0.0476458429030776,"0.4927","59.05","427.9","7.246"
"HINT1",-0.345473716310737,35,0.0149880298687635,0.126620006957332,0.0476678767126423,"1.486","0.3739","3.157","2.125"
"C1orf105",0.195452229169225,87,0.0272958006366538,0.178392877601786,0.0476695365807718,"0.58","0.6061","1.355","2.236"
"PGD",0.18918485589868,86,0.033679735415629,0.199105777876809,0.0477028757555996,"2.337","0.2294","2.443","1.045"
"VPS37C",0.153440485922108,90,0.0778807423943629,0.30974543670964,0.0477360944952643,"0.2324","1.948","1.111","0.5702"
"FIBCD1",0.156829414731257,99,0.0585010495683814,0.268014495328104,0.0478258758513536,"0.4294","0.3038","1.659","3.864"
"FBXL22",0.257407985946679,62,0.0145805757082486,0.124852222955965,0.0478960343819507,"2.195","0.3933","7.701","3.508"
"FSCN1",-0.126493448899701,57,0.250434805566541,0.564545265231003,0.047904040686928,"0.4853","0.2724","0.54","1.113"
"KXD1",-0.267741027546395,66,0.00869223333977231,0.0932131247059109,0.0479233226837061,"0.9379","0.5089","3.255","3.47"
"UBXN10",0.144916080262848,115,0.059182150344733,0.269945861784237,0.0479319267677382,"3.456","0.2302","1.477","0.4275"
"TSC22D2",-0.204465285429386,101,0.012707165077703,0.115551927096151,0.0479343601554628,"3.604","0.2578","6.979","1.936"
"CCZ1",0.121775599155687,55,0.277412292172334,0.59044178532802,0.0479461264617385,"0.2788","0.4253","0.3526","0.8291"
"VIM",0.125389066506844,63,0.230246458368927,0.542697927825848,0.0479744448180582,"0.5126","0.4854","0.2596","0.5064"
"NR2E3",0.0989645314767484,94,0.24495001546933,0.559065021599662,0.0480324527043353,"0.4072","0.2169","0.5414","1.329"
"PYCR3",0.210536677145619,92,0.0144247846048732,0.123941817402923,0.0480597089563434,"0.8466","0.5695","5.881","6.946"
"LAMTOR4",0.133197211873939,80,0.14959142024606,0.438189410439298,0.0480644063952829,"0.2558","0.7448","0.4941","0.6633"
"LY6H",0.275709673237702,73,0.00442953816368622,0.0626827751850819,0.0480952425644539,"3.333","0.2679","1.284","0.3852"
"PRUNE2",0.396753417371676,107,6.36977416760642e-07,0.000194811093215816,0.0483504860321338,"14749","0.4259","146223","9.914"
"CEP63",0.236145886040162,111,0.00252961086030156,0.0447564915613686,0.0483514908256881,"0.2075","1992","22.5","0.01129"
"ADAMTS7",0.209431529502219,110,0.00767938267449564,0.0862692869265305,0.048357151145665,"5068","0.5259","13.22","0.002609"
"CCDC146",0.307274897834033,111,8.51731659427384e-05,0.00500551005810932,0.0484433816788411,"0.2023","31103758","1447","0.00004653"
"RAD9A",0.182911440343745,99,0.0273443190928474,0.178476465995388,0.0484585116286347,"20.93","0.3938","1.958","0.09355"
"CUEDC1",-0.0835520514214135,90,0.337025092755352,0.64247195291912,0.0485216655773002,"0.2835","0.2215","0.3084","1.088"
"RRS1",0.11381851507893,91,0.188427654713447,0.489740136475345,0.0485472049146553,"0.377","0.2356","0.4689","1.244"
"INAVA",-0.182837639559379,85,0.0413124653039176,0.221664377029899,0.0485647261071218,"0.304","0.3627","1.023","2.82"
"VAT1L",0.108014273817004,61,0.309431346574752,0.618945296285268,0.0485730640281299,"0.2607","0.262","0.2801","1.069"
"MOGAT1",-0.240016751935206,101,0.00344292881020135,0.0534670789115829,0.0485845927678876,"2.921","0.9435","46.79","16.02"
"ZWINT",0.224705517758548,113,0.0037350321899419,0.0564186493980164,0.0486467333972186,"22815","0.8559","45.33","0.001987"
"SIM1",-0.22187096076179,71,0.0239670266207986,0.165038959481509,0.0487028085849974,"0.7784","0.2612","2.235","2.871"
"TIGAR",-0.2470831055537,91,0.00430095719041671,0.0617968786726605,0.0487562967672519,"3.941","0.4503","10.39","2.636"
"S100Z",0.161106533155593,70,0.103645124125056,0.361131325305299,0.0487833969465649,"0.2586","0.3039","0.4735","1.558"
"MYL6B",-0.29284065062897,67,0.00382525275504688,0.0572108161548229,0.04883171935881,"3.534","0.3661","20.48","5.796"
