"","Rho","N","P","p.adj","PermPval","Bat","Cetacean","Combination","ratio"
"PACC1",-0.171271525010016,172,0.00623651318661827,0.0387108937208168,0.0448099314319183,"0.6949","1.093","8.253","7.547"
"STRIP1",0.131594666444718,145,0.0539293123280835,0.175544519095605,0.0448912485665592,"0.6978","0.179","0.6124","0.8776"
"TM7SF3",-0.182189391759951,203,0.00155847309329582,0.0141777637515178,0.0449108341921984,"4.12","0.1935","6.573","1.595"
"ADM",-0.165883013219427,135,0.0191224450498442,0.0865621967998889,0.0449152487816811,"0.2473","0.4782","0.4542","0.9496"
"KRT34",-0.234690148895425,100,0.0044306366831128,0.0307588061618964,0.0449169986459939,"2.436","NA","2.436","NA"
"DCAF13",-0.130726164567056,187,0.0294252229969554,0.116636714985702,0.0449235550375982,"1.134","0.2554","2.738","2.414"
"APLP1",0.118515853713181,179,0.0534610230184666,0.174867620588221,0.0449297813873189,"0.2501","0.7419","1.05","1.415"
"RTN2",-0.153150277990463,186,0.0109466448933863,0.0580603949565684,0.044932750105103,"1.871","0.2738","5.157","2.756"
"CCNO",0.184012092500154,163,0.00424033984791551,0.0296833767226643,0.0449559743667373,"12521","0.2306","136.3","0.01089"
"SENP5",-0.138986180344552,187,0.0205940917396341,0.0912113634147869,0.0449633674997534,"0.7578","0.3001","2.285","3.015"
"BTK",-0.240985129692526,144,0.000436070833049413,0.00539659780987429,0.0449961120202407,"1.816","0.7094","11.27","6.205"
"ADAM32",-0.111978268045481,191,0.0593648775368548,0.18837136036977,0.0450009500782996,"0.1662","0.8932","0.4286","0.4798"
"SYNPR",0.262114033157679,117,0.000575640036477651,0.00662415593107462,0.0450081364360725,"27.22","0.2083","8.485","0.3117"
"SLC38A2",0.125894748721486,155,0.0564828037550471,0.181389301771342,0.0450569244697933,"4.99","0.2151","1.388","0.2782"
"S1PR3",-0.220453537534464,155,0.00083824464361112,0.00883419012551281,0.045106343225485,"0.2661","3.104","1.358","0.4376"
"TNNC2",0.111161951246973,46,0.366249686759828,0.585800081549278,0.0451068250041815,"0.5173","0.482","0.8702","1.682"
"ZNF839",-0.103662856621467,187,0.0841856507095004,0.238094517966318,0.0451810829116698,"0.1751","8.98","0.58","0.06459"
"SUPT20H",0.275486963492381,172,1.08588801006819e-05,0.000348654657411579,0.0451891033456505,"409067","0.1651","50725","0.124"
"CGREF1",-0.145271626657495,151,0.0298636166361295,0.117878044748728,0.0452009260738666,"0.6793","0.1993","0.681","1.002"
"FOSL1",-0.10346586582184,129,0.153251465523237,0.348788216655218,0.0452306748268122,"0.3163","0.2125","0.404","1.277"
"VPS4A",0.112043046188569,80,0.225465434290432,0.441117236766779,0.0452504000961496,"0.753","0.2339","0.6472","0.8595"
"ZC2HC1C",-0.0315750346819229,210,0.577022609138781,0.75891961918104,0.0452649648726833,"0.1669","0.151","0.1675","1.004"
"RSRP1",-0.20390733021971,161,0.00163743918203746,0.0147286687976186,0.0452935614984967,"10.74","0.2214","14.88","1.386"
"ARID3A",-0.273632443664611,155,3.39070044278457e-05,0.000829632851459308,0.0453319186262068,"919.4","0.1993","943.5","1.026"
"MYO15A",-0.146618240068402,161,0.0235508352051181,0.100069162228439,0.0453408791787312,"0.9024","0.2092","1.31","1.452"
"KCNK10",0.143755251224577,158,0.0278693091638612,0.112446970559785,0.0453464574901891,"1.087","0.1716","0.7504","0.6903"
"RAD9B",-0.0856304654612672,205,0.135102131594932,0.322487532386962,0.0453535191948346,"0.1563","1.077","0.2615","0.2429"
"KCNK18",0.0832010994359023,169,0.18787679261283,0.395527487881925,0.045356692153515,"0.2499","1.195","0.7145","0.5978"
"PRCP",-0.161128268139381,191,0.00666639790075055,0.0405734835311537,0.04542231130081,"0.1866","352","8.256","0.02345"
"IRX2",-0.236406060965103,120,0.00165860820896987,0.0148668058141092,0.0454365800831581,"11.59","0.2096","12.45","1.074"
"SLC25A48",-0.141242912818413,190,0.0176950646909834,0.0817426169702994,0.0455714198257273,"0.219","2.129","1.896","0.8907"
"NOP16",-0.042693283184741,160,0.511000522815376,0.712509987351787,0.0455954990703999,"0.1764","0.2726","0.1837","0.6738"
"CAPN10",-0.157833482480836,198,0.006802733587019,0.0411558952209747,0.0456155876746082,"1.32","0.2471","3.21","2.431"
"TMEM106B",0.0839681416258003,107,0.291935691674957,0.512577951613612,0.0456250717776615,"0.2142","0.2046","0.2129","0.9943"
"HGD",-0.130011382420035,158,0.04671534336585,0.159930360322224,0.0456276565860308,"0.8585","0.2188","1.408","1.64"
"ATN1",-0.0991142778644076,150,0.139719722151759,0.328938501378908,0.0456559479698391,"0.31","0.1952","0.378","1.219"
