"","X.1","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty","PantheriaMaturity","pantheriaMaxAge","pantheriaBodysize","lifeHistoriesMaturity","lifeHistoryMaxAge","lifeHistoryBodysize","anAgeMaturity","anAgeMaxAge","anAgeBodysize","combinedMaturity","combinedBodysize","MaximumAge","MaturityPercentage","elifeLongevity","L3","ELL"
"47",47,47,"speTri2","vs_speTri2","Ground Squirrel ","ictidomys_tridecemlineatus","Omnivore","ictidomys_tridecemlineatus","Ictidomys tridecemlineatus",NA,NA,NA,NA,NA,NA,354,2883.5,172.7,354,172.7,2883.5,0.122767470088434,2591.5,-1.437928618,-0.171036666
"48",48,48,"HLmarMar1","vs_HLmarMar1","Marmot","marmota_marmota_marmota","Insectivore/herbivore","marmota_marmota","Marmota marmota",827.69,NA,4059.15,900,5400,2010,730,6351,3500,730,3500,6351,0.114942528735632,NA,NA,NA
"49",49,49,"oryCun2","vs_HLoryCunCun4","Rabbit","oryctolagus_cuniculus","Herbivore","oryctolagus_cuniculus","Oryctolagus cuniculus",185.61,NA,1590.57,153.9,3600,1558.25,730,4745,1800,730,1800,4745,0.153846153846154,3285,-0.742290201,-0.479858244
"50",50,50,"ochPri3","vs_ochPri3","Pika","ochotona_princeps","Herbivore","ochotona_princeps","Ochotona princeps",374.39,NA,157.63,342.6,2520,140.2,347,2555,100,347,100,2555,0.135812133072407,2555,-1.509286851,-0.12281705
"51",51,51,"vicPac2","vs_vicPac2","Alpaca","vicugna_pacos","Herbivore","vicugna_pacos","Vicugna pacos",NA,NA,NA,NA,NA,NA,432,9417,62000,432,62000,9417,0.0458744823192099,9417,0.80489186,-0.309094554
"52",52,52,"HLcamFer2","vs_HLcamFer3","Ferus Camel","camelus_ferus","Omnivore","camelus_ferus","Camelus ferus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,53,"HLcamBac1","vs_HLcamBac1","Bactrian Camel","camelus_bactrianus","Omnivore","camelus_bactrianus","Camelus bactrianus",1330.6,NA,554515.91,1260,NA,-999,1278,12921,475000,1278,475000,12921,0.0989087531924774,NA,NA,NA
"54",54,54,"HLcamDro1","vs_HLcamDro2","One-hump Camel","camelus_dromedarius","Omnivore","camelus_dromedarius","Camelus dromedarius",1947.94,14400,492714.47,1389,14400,434000,1095,10366,434000,1095,434000,10366,0.105633802816901,NA,NA,NA
"55",55,55,"HLturTru3","vs_HLturTru4","Bottle-nose Dolphin","tursiops_truncatus","Piscivore","tursiops_truncatus","Tursiops truncatus",3354.8,3240,281040.55,2922.3,17640,173333.33,2831,18834,2e+05,2831,2e+05,18834,0.150313263247319,NA,NA,NA
"56",56,56,"HLorcOrc1","vs_orcOrc1","Killer whale","orcinus_orca","Carnivore/Piscivore","orcinus_orca","Orcinus orca",4989.76,NA,5628758.66,4146.6,32400,4300000,3780,32850,3987500,3780,3987500,32850,0.115068493150685,NA,NA,NA
"57",57,57,"HLdelLeu1","vs_HLdelLeu2","Beluga Whale","delphinapterus_leucas","Piscivore","delphinapterus_leucas","Delphinapterus leucas",2104.57,NA,1381640.73,1686.3,10800,665000,1644,14600,1430000,1644,1430000,14600,0.112602739726027,NA,NA,NA
"58",58,58,"lipVex1","vs_lipVex1","Chinese River Dolphin","lipotes_vexillifer","Piscivore","lipotes_vexillifer","Lipotes vexillifer",3367.31,NA,112138.32,2880,8640,83500,2920,8760,83500,2920,83500,8760,0.333333333333333,NA,NA,NA
"59",59,59,"phyCat1",NA,"Sperm whale","physeter_catodon","Piscivore","physeter_catodon","Physeter catodon",3935.04,6480,14540959.82,3100.8,27720,15400000,NA,NA,NA,15400000,3100.8,27720,555.555555555556,NA,NA,NA
"60",60,60,"balAcu1","vs_balAcu1","Minke Whale","balaenoptera_acutorostrata_scammoni","Carnivore/Planktivore","balaenoptera_acutorostrata","Balaenoptera acutorostrata",2680.62,NA,5587093.59,2961.9,16920,16266666.67,2740,18250,7500000,2740,7500000,18250,0.15013698630137,NA,NA,NA
"61",61,61,"HLbalMys1",NA,"Bowhead whale","balaena_mysticetus","Planktivore","balaena_mysticetus","Balaena mysticetus",6041.21,5796,79691178.99,6300,36000,8e+07,8212,77015,1e+08,8212,1e+08,77015,0.106628578848276,NA,NA,NA
"62",62,62,"bosTau8","vs_bosTau9","Cow","bos_taurus","Herbivore","bos_taurus","Bos taurus",755.15,NA,618642.42,NA,NA,NA,548,7300,750000,548,750000,7300,0.0750684931506849,NA,NA,NA
"63",63,63,"HLbosInd1","vs_HLbosInd2","Zebu","bos_indicus","Herbivore","bos_indicus","Bos indicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,64,"bisBis1","vs_bisBis1","American Bison","bison_bison_bison","Herbivore","bison_bison","Bison bison",921.77,NA,624577.07,883.5,9000,497666.67,912,12227.5,630000,912,630000,12227.5,0.0745859742383971,NA,NA,NA
"65",65,65,"bosMut1","vs_HLbosMut2","Yak","bos_mutus","Herbivore","bos_mutus","Bos mutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
