"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"UBASH3A",3671,0.0622481094860365,0.205769564599871,0.79946,1897,4828,11115,0.126584812491659,0.297987902728058,0.798950546290972,0.117033746683941,0.297859214016904,0.798950546290972
"RSPH1",3672,0.0722845739694104,0.0226603272180066,0.59011,2164,815,8248,0.144401441345256,0.0503024317985434,0.592869465209891,0.133506076870874,0.0502807082485039,0.592869465209891
"PDE9A",3673,0.0492531622486365,0.179916691256699,0.71123,1477,4372,9921,0.0985586547444281,0.269843229230959,0.713125359401955,0.0911222160528102,0.269726695045962,0.713125359401955
"PKNOX1",3674,0.503765119799266,0.962884011917568,0.9469,7267,15630,13180,0.484919257974109,0.9646957165782,0.947383553766532,0.448331174039114,0.96427910420137,0.947383553766532
"U2AF1",3675,NA,0.278760149405358,NA,15312,6031,NA,NA,0.372237995309221,NA,0.944660373866371,0.372077241038929,NA
"CRYAA",3676,0.799023870517913,0.174521992288929,NA,10469,4263,NA,0.698585346323235,0.263115664732749,NA,0.645875748041212,0.263002035905978,NA
"HSF2BP",3677,0.162442159862676,0.00970662924351778,0.14828,4064,416,2160,0.271186440677966,0.0256758424885817,0.155261644623347,0.250724905916466,0.0256647541489296,0.155261644623347
"PDXK",3678,0.535621213184551,0.121685134018857,0.00046,7509,3219,32,0.501067663152275,0.198679175410443,0.00230017251293847,0.463261151212289,0.198593374051453,0.00230017251293847
"AGPAT3",3679,0.568467847974454,0.353799623691863,0.49545,7782,7186,6942,0.519284665687975,0.443525490680163,0.498993674525589,0.480103646122525,0.443333950274539,0.498993674525589
"TRAPPC10",3680,0.088822994826863,0.146525947026664,0.81233,2598,3727,11282,0.173361804350727,0.230033329218615,0.810954571592869,0.160281325189709,0.229933987291011,0.810954571592869
"PWP2",3681,0.0397809153549236,0.00720452308147993,0.47113,1182,322,6601,0.0788736153743494,0.0198740896185656,0.474482461184589,0.0729224504904683,0.0198655068172003,0.474482461184589
"GATD3A",3682,0.38363794861187,0.391475739959725,0.75853,6367,7742,10560,0.424863205658615,0.477842241698556,0.759056929269695,0.392806465543834,0.477635881300512,0.759056929269695
"AIRE",3683,0.13160634155633,0.372530448667773,0.40567,3540,7474,5704,0.236220472440945,0.461301073941489,0.410005750431282,0.218397186748103,0.461101856993029,0.410005750431282
"LRRC3",3684,0.0871646703507345,0.239237266216566,0.29985,2559,5398,4247,0.170759375417056,0.333168744599432,0.305276020701553,0.157875254488247,0.333024862730582,0.305276020701553
