"","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty"
"78",78,"felCat8","vs_felCat9","Cat","felis_catus","Carnivore","felis_catus","Felis catus"
"79",79,"HLaciJub1","vs_HLaciJub2","Cheetah","acinonyx_jubatus","Carnivore","acinonyx_jubatus","Acinonyx jubatus"
"80",80,"panTig1","vs_panTig1","Tiger","panthera_tigris_altaica","Carnivore","panthera_tigris","Panthera tigris"
"81",81,"HLpanPar1","vs_HLpanPar1","Leopard","panthera_pardus","Carnivore","panthera_pardus","Panthera pardus"
"82",82,"canFam3","vs_canFam4","Dog","canis_lupus_familiaris","Carnivore","canis_lupus","Canis lupus"
"83",83,"HLlycPic1","vs_HLlycPic3","African Hunting Dog ","lycaon_pictus","Carnivore","lycaon_pictus","Lycaon pictus"
"84",84,"musFur1","vs_HLmusFur2","Ferret","mustela_putorius_furo","Carnivore","mustela_putorius","Mustela putorius"
"85",85,"HLenhLut1",NA,NA,NA,NA,"NA_NA","NA NA"
"86",86,"HLailFul1","vs_HLailFul2","Red Panda ","ailurus_fulgens","Omnivore","ailurus_fulgens","Ailurus fulgens"
"87",87,"ailMel1","vs_HLailMel2","Panda","ailuropoda_melanoleuca","Omnivore","ailuropoda_melanoleuca","Ailuropoda melanoleuca"
"88",88,"ursMar1","vs_ursMar1","Polar Bear","ursus_maritimus","Carnivore","ursus_maritimus","Ursus maritimus"
"89",89,"odoRosDiv1","vs_HLodoRos1","Pacific walrus","odobenus_rosmarus_divergens","Piscivore","odobenus_rosmarus","Odobenus rosmarus"
"90",90,"lepWed1","vs_lepWed1","Weddell seal","leptonychotes_weddellii","Piscivore","leptonychotes_weddellii","Leptonychotes weddellii"
"91",91,"neoSch1","vs_neoSch1","Hawaiian Monk Seal","neomonachus_schauinslandi","Piscivore","neomonachus_schauinslandi","Neomonachus schauinslandi"
"92",92,"manPen1","vs_HLmanPen2","Chinese pangolin","manis_pentadactyla","Insectivore","manis_pentadactyla","Manis pentadactyla"
"93",93,"HLmanJav1","vs_HLmanJav2","Sunda pangolin","manis_javanica","Insectivore","manis_javanica","Manis javanica"
"94",94,"pteAle1","vs_pteAle1","Black flying-fox","pteropus_alecto","Herbivore","pteropus_alecto","Pteropus alecto"
"95",95,"HLpteVam2","vs_HLpteVam2","Megabat","pteropus_vampyrus","Herbivore","pteropus_vampyrus","Pteropus vampyrus"
"96",96,"rouAeg1","vs_HLrouAeg4","Rousette Fruit Bats","rousettus_aegyptiacus","Herbivore","rousettus_aegyptiacus","Rousettus aegyptiacus"
"97",97,"HLrhiSin1","vs_HLrhiSin1","Horseshoe Bats","rhinolophus_sinicus","Insectivore","rhinolophus_sinicus","Rhinolophus sinicus"
"98",98,"HLhipArm1","vs_HLhipArm1","Old World Leaf-nosed Bats","hipposideros_armiger","Insectivore","hipposideros_armiger","Hipposideros armiger"
"99",99,"eptFus1","vs_eptFus1","Big brown bat","eptesicus_fuscus","Insectivore","eptesicus_fuscus","Eptesicus fuscus"
"100",100,"myoDav1","vs_myoDav1","David's myotis bat","myotis_davidii","Insectivore","myotis_davidii","Myotis davidii"
"101",101,"myoBra1","vs_myoBra1","Brandt's bat","myotis_brandtii","Insectivore","myotis_brandtii","Myotis brandtii"
"102",102,"myoLuc2","vs_HLmyoLuc1","Microbat","myotis_lucifugus","Insectivore","myotis_lucifugus","Myotis lucifugus"
"103",103,"HLminNat1","vs_HLminNat1","Long-winged bats","miniopterus_natalensis","Insectivore","miniopterus_natalensis","Miniopterus natalensis"
"104",104,"HLdesRot1","vs_HLdesRot2","Common Vampire Bat","desmodus_rotundus","Hematophagy","desmodus_rotundus","Desmodus rotundus"
"105",105,"eriEur2","vs_eriEur2","Hedgehog","erinaceus_europaeus","Generalist","erinaceus_europaeus","Erinaceus europaeus"
"106",106,"sorAra2","vs_sorAra2","Shrew","sorex_araneus","Omnivore","sorex_araneus","Sorex araneus"
"107",107,"conCri1","vs_conCri1","Star-nosed mole","condylura_cristata","Carnivore","condylura_cristata","Condylura cristata"
"108",108,"loxAfr3","vs_HLloxAfr4","Elephant","loxodonta_africana","Herbivore","loxodonta_africana","Loxodonta africana"
"109",109,"triMan1","vs_triMan1","Manatee","trichechus_manatus","Herbivore","trichechus_manatus","Trichechus manatus"
"110",110,"HLproCap2","vs_HLproCap3","Hydrax","procavia_capensis","Herbivore","procavia_capensis","Procavia capensis"
"111",111,"chrAsi1","vs_chrAsi1","Cape golden mole","chrysochloris_asiatica","Insectivore","chrysochloris_asiatica","Chrysochloris asiatica"
"112",112,"echTel2",NA,"Tenrec","echinops_telfairi","Ambiguous","echinops_telfairi","Echinops telfairi"
"113",113,"eleEdw1","vs_eleEdw1","Cape elephant shrew","elephantulus_edwardii","Insectivore","elephantulus_edwardii","Elephantulus edwardii"
"114",114,"oryAfe1",NA,"Aardvark","orycteropus_afer_afer","Insectivore","orycteropus_afer","Orycteropus afer"
"115",115,"dasNov3","vs_dasNov3","Armadillo","dasypus_novemcinctus","Insectivore/Carnivore","dasypus_novemcinctus","Dasypus novemcinctus"
"116",116,"HLchoHof2",NA,"Two-Toed Sloth","choloepus_hoffmanni","Herbivore","choloepus_hoffmanni","Choloepus hoffmanni"
"117",117,"monDom5",NA,"Opossum","monodelphis_domestica","Omnivore","monodelphis_domestica","Monodelphis domestica"
"118",118,"sarHar1",NA,"Tasmanian devil","sarcophilus_harrisii","Omnivore","sarcophilus_harrisii","Sarcophilus harrisii"
"119",119,"HLphaCin1",NA,"Koala","phascolarctos_cinereus","Herbivore","phascolarctos_cinereus","Phascolarctos cinereus"
"120",120,"ornAna2",NA,"Platypus","ornithorhynchus_anatinus","Insectivore/Carnivore","ornithorhynchus_anatinus","Ornithorhynchus anatinus"
