"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"32","Thr_5_Mm_2493",0.243483885121429,0.0241729497025325,0.287838329924559,7.66144068712907,2.40811284842299,2.12798695471202,2.1148308009925,0.00872185834410174,""
"33","As_1_Csm_2490",0.746848603099135,0.0245645994392517,0.301696889282974,11.2069834963265,2.29749528477841,4.32800596488458,4.30480321830368,0.00807759931393708,""
"34","As_5_Csm_2490",1.02859795478451,0.036523978308289,0.3617993726765,9.12613161346324,1.91583300831126,7.67453667860323,7.61535220089264,0.0200694983173654,""
"35","Glu_1_Csm_2490",0.639276792474308,0.027872012600665,0.391248202270793,7.89303607443551,1.77163032708378,5.48594550626552,5.4545257834816,0.0104472855611363,""
"36","Glu_5_Csm_2490",0.253356901591672,0.0309727199854067,0.359392431770794,5.48508939844981,1.92866382061714,2.71258140217576,2.70153907018882,0.00868419409418039,""
"37","Ser_1_Csm_2490",0.712953884387901,0.02669965920192,0.369849692025037,8.7781534455158,1.87413210151605,5.54079428221012,5.5209334905259,0.00697719914669578,""
"38","Ser_5_Csm_2490",0.747182072656278,0.0266425615361043,0.399018009213572,8.26401360705798,1.73713257185077,6.15589263270703,6.12451835545569,0.00968563633187512,""
"39","Thr_1_Csm_2490",0.903194853400781,0.0511296088469623,0.367479202142543,7.65566956364853,1.88622152360905,7.94005527201462,7.86968971492979,0.0279619628061347,""
"40","Thr_5_Csm_2490",0.726939901573117,0.0368143706679439,0.416763262411602,7.03273416352568,1.66316766153774,6.82624190658903,6.77447463943354,0.0195893052345094,""
"41","As_1_Csm_2491",0.602841404822075,0.0239771980976109,0.362650009955655,8.77971744791883,1.91133920179598,4.68586642630033,4.66361964131868,0.00748561347120005,""
"42","As_5_Csm_2491",0.980142072763637,0.0380351040780634,0.470599949772077,6.82024998032898,1.47290109337167,9.4287082832297,9.3747359385409,0.0196597781750892,""
"43","Glu_1_Csm_2491",0.230825963720454,0.0270696477211872,0.418368141835646,4.82472602152811,1.65678767393394,2.6307235059066,2.61760444821472,0.00946976802947217,""
"44","Glu_5_Csm_2491",0.217797331341259,0.0246111620360367,0.368373127878147,5.59338913320308,1.88164425714904,2.31548313668166,2.3066945740075,0.00645917677748374,""
"45","Ser_1_Csm_2491",0.961750268396911,0.0267954609327273,0.434009808781904,8.18475900080895,1.59707722391192,7.99555224237278,7.9481243145334,0.015634235627237,""
"46","Ser_5_Csm_2491",0.98332562717613,0.0290874389465682,0.485194955669536,7.19423572530018,1.42859519139775,9.11363530743444,9.066593060515,0.0178475642929308,""
"47","Thr_1_Csm_2491",0.831671793845658,0.0308895627111497,0.374092315215661,8.70151712814271,1.85287735771945,6.52020788908777,6.44840377762951,0.0231450888861116,""
"48","Thr_5_Csm_2491",0.781451097828394,0.0310358389721897,0.384175783618817,8.29173580171462,1.80424485382893,6.41840360321545,6.3683704,0.0176634525528675,""
"49","As_1_Csm_2492",0.77394670418564,0.0375386440602618,0.44162996669152,6.73960942067585,1.56952026093852,7.49170798642596,7.44830928973313,0.0168749379660118,""
"50","As_5_Csm_2492",0.997764320558432,0.0353231322986291,0.409664217201704,8.06742392228726,1.69198858834836,8.40354098520569,8.34351026770757,0.0196176946297318,""
"51","Glu_1_Csm_2492",0.252291463294848,0.0318168974885328,0.37634020398313,5.14370987660712,1.84181007828496,2.78446873503507,2.76940542668542,0.0115343700591183,""
"52","Glu_5_Csm_2492",0.27262016069039,0.0259362414638944,0.40180833450126,5.60582339774123,1.72506919603922,2.91111923349968,2.89096034508896,0.0114188147860776,""
"53","Ser_1_Csm_2492",0.75717950560905,0.0257096096616502,0.396281979780554,8.44901206154899,1.74912616754308,6.10846898796673,6.0731458604666,0.010621957299351,""
"54","Ser_5_Csm_2492",0.270309444699844,0.00828358086726885,0.459534325924019,7.5166699725011,1.50836867118944,2.41987576413169,2.41634859712236,0.00415447487018473,""
"55","Thr_1_Csm_2492",0.7735377425769,0.0296236682417861,0.37333648796005,8.63390532682737,1.85662854533018,6.1122831750375,6.05351782792604,0.0196329675231615,""
"56","Thr_5_Csm_2492",0.678068753629519,0.0239727514612629,0.431927597699739,7.65483919304066,1.60477631957613,5.97640978390778,5.91828601641663,0.0179739483162005,""
"57","As_1_Csm_2493",0.64983729055108,0.0252547376377208,0.357622599812256,8.97054533351429,1.93820854980595,4.94107155004187,4.90796330843319,0.011335301257437,""
"58","As_5_Csm_2493",0.978743810666785,0.028322698786046,0.37734226980345,9.31049045596798,1.83691898848489,7.12886944176207,7.07160770080546,0.0172884987799075,""
"59","Glu_1_Csm_2493",0.154049130366723,0.0148141719782558,0.422929082385925,5.29776423244322,1.63892058841072,1.69233121839257,1.68333190312576,0.00550554231550297,""
"60","Glu_5_Csm_2493",0.283290772535742,0.0254951316007708,0.401778690666551,5.75859227749202,1.72519647423315,2.98633091081427,2.96487676825528,0.011545724790678,""
"61","Ser_1_Csm_2493",0.962464418428338,0.0240273719679093,0.456838201635959,8.02258235546931,1.51727061808262,8.15110280128349,8.09411582991104,0.0179753448217333,""
"62","Ser_5_Csm_2493",0.964319123703064,0.0234689452304963,0.476157540608627,7.75185842755507,1.45570976293678,8.41908994278129,8.37298947719435,0.0165383673224862,""
"63","Thr_1_Csm_2493",0.901478100686333,0.0426876947061051,0.367948125967222,8.15771024273906,1.8838176678788,7.51438923614841,7.43540706750014,0.0277422884296004,""
"64","Thr_5_Csm_2493",0.770351641216556,0.0261308375907531,0.392636712095925,8.53007763389588,1.76536518162011,6.1573407521342,6.10270701299625,0.0175346045767421,""
